;id;rank;title;fullTitle;year;image;crew;imDbRating;imDbRatingCount
59;tt0043014;60;Sunset Blvd.;Sunset Blvd. (1950);1950;https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX128_CR0,12,128,176_AL_.jpg;Billy Wilder (dir.), William Holden, Gloria Swanson;8.4;219843
60;tt0050825;61;Paths of Glory;Paths of Glory (1957);1957;https://m.media-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker;8.4;195426
61;tt0081505;62;The Shining;The Shining (1980);1980;https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall;8.4;999416
62;tt0032553;63;The Great Dictator;The Great Dictator (1940);1940;https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX128_CR0,12,128,176_AL_.jpg;Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard;8.4;222078
63;tt0051201;64;Witness for the Prosecution;Witness for the Prosecution (1957);1957;https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX128_CR0,12,128,176_AL_.jpg;Billy Wilder (dir.), Tyrone Power, Marlene Dietrich;8.4;123759
64;tt4154756;65;Avengers: Infinity War;Avengers: Infinity War (2018);2018;https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UX128_CR0,12,128,176_AL_.jpg;Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth;8.4;1043727
65;tt0090605;66;Aliens;Aliens (1986);1986;https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;James Cameron (dir.), Sigourney Weaver, Michael Biehn;8.3;707164
66;tt0169547;67;American Beauty;American Beauty (1999);1999;https://m.media-amazon.com/images/M/MV5BNTBmZWJkNjctNDhiNC00MGE2LWEwOTctZTk5OGVhMWMyNmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX128_CR0,12,128,176_AL_.jpg;Sam Mendes (dir.), Kevin Spacey, Annette Bening;8.3;1140644
67;tt0057012;68;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);1964;https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX128_CR0,12,128,176_AL_.jpg;Stanley Kubrick (dir.), Peter Sellers, George C. Scott;8.3;485298
68;tt4633694;69;Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse (2018);2018;https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UX128_CR0,12,128,176_AL_.jpg;Bob Persichetti (dir.), Shameik Moore, Jake Johnson;8.3;507390
